probe_id,source,question_tag,query,item_text,esci_label,relevance_score,pair_group_id,expected_direction,target_tokens_query,target_tokens_item,notes,tag_reason,tag_confidence,tag_source
esci_0117,esci,unclassified,session in progress do not disturb sign,"2 Pack Do Not Disturb Door Hanger Sign Funny, Meeting in Progress Door Sign PSLER Black and White Ideal for Therapy, Sleeping, Session in Progress,Spa Treatment, 8.86X3.35 inches PVC Hanging Sign",Exact,3,grp_0037,should_rank_higher,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0251,esci,other_lexical,session in progress do not disturb sign,"Kichwit Privacy Sign, Do Not Disturb Sign, Out of Office Sign, Please Knock Sign, In a Meeting Sign, Office Sign, Conference Sign for Offices, 5 Inch, Black",Substitute,2,grp_0037,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0131,esci,other_lexical,session in progress do not disturb sign,"Do Not Disturb Door Hanger Sign, Please Do Not Disturb Door Knob Sign for Meeting in Session, Office, Home, Clinic, Therapists, Hotel, Health Care,2 Pack (Grey and Green)",Exact,3,grp_0038,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0024,esci,other_lexical,session in progress do not disturb sign,"WSNIHO Do Not Disturb Door Sign, Double Sided Decorative Wood Sign for Home, Offices, Clinics, Law Firms, Hotels or During Therapy, Spa Treatment, Counseling Sessions (10""x 5"")",Substitute,2,grp_0038,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0131,esci,other_lexical,session in progress do not disturb sign,"Do Not Disturb Door Hanger Sign, Please Do Not Disturb Door Knob Sign for Meeting in Session, Office, Home, Clinic, Therapists, Hotel, Health Care,2 Pack (Grey and Green)",Exact,3,grp_0039,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0251,esci,other_lexical,session in progress do not disturb sign,"Kichwit Privacy Sign, Do Not Disturb Sign, Out of Office Sign, Please Knock Sign, In a Meeting Sign, Office Sign, Conference Sign for Offices, 5 Inch, Black",Substitute,2,grp_0039,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0082,esci,negation,#1 selling shoes for men without shoeleases,"Skechers USA Men's Expected Gomel Slip-on Loafer,Black,9.5 2W US",Exact,3,grp_0040,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0130,esci,negation,#1 selling shoes for men without shoeleases,Feetmat Men's Athletic Shoes Lightweight Sneaker Walking Tennis Slip On Shoes Wide Fashion Sneakers Barefoot Running Shoes Grey 11M,Irrelevant,0,grp_0040,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0105,esci,negation,#1 selling shoes for men without shoeleases,"ASICS Men's Gel Venture 5 Trail Running Shoe, Castle Rock/Silver/Fiery Red, 10 M US",Exact,3,grp_0041,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0048,esci,negation,#1 selling shoes for men without shoeleases,"New Balance Men's 813 V1 Lace-Up Walking Shoe, Black/Black, 13 XXW US",Irrelevant,0,grp_0041,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0105,esci,negation,#1 selling shoes for men without shoeleases,"ASICS Men's Gel Venture 5 Trail Running Shoe, Castle Rock/Silver/Fiery Red, 10 M US",Exact,3,grp_0042,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0130,esci,negation,#1 selling shoes for men without shoeleases,Feetmat Men's Athletic Shoes Lightweight Sneaker Walking Tennis Slip On Shoes Wide Fashion Sneakers Barefoot Running Shoes Grey 11M,Irrelevant,0,grp_0042,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0028,esci,negation,#1 small corded treadmill without remote control,"SUNNY HEALTH & FITNESS ASUNA Space Saving Treadmill, Motorized with Speakers for AUX Audio Connection - 8730G",Exact,3,grp_0043,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0341,esci,negation,#1 small corded treadmill without remote control,"Goplus 2 in 1 Folding Treadmill, 2.25HP Under Desk Electric Superfit Treadmill, Installation-Free with APP Control, Remote Control, Bluetooth Speaker and LED Display, Jogging Walking for Home/Office",Irrelevant,0,grp_0043,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0146,esci,negation,#1 small corded treadmill without remote control,"BiFanuo 2 in 1 Folding Treadmill, Smart Walking Running Machine with Bluetooth Audio Speakers, Installation-Free，Under Desk Treadmill for Home/Office Gym Cardio Fitness（Red）",Exact,3,grp_0044,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0072,esci,negation,#1 small corded treadmill without remote control,"Egofit Walker Pro Smallest Under Desk Electric Walking Treadmill for Home, Small & Compact Treadmill to Fit Desk Perfectly and Home & Office with APP & Remote Contro",Irrelevant,0,grp_0044,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0146,esci,negation,#1 small corded treadmill without remote control,"BiFanuo 2 in 1 Folding Treadmill, Smart Walking Running Machine with Bluetooth Audio Speakers, Installation-Free，Under Desk Treadmill for Home/Office Gym Cardio Fitness（Red）",Exact,3,grp_0045,should_rank_higher,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0341,esci,negation,#1 small corded treadmill without remote control,"Goplus 2 in 1 Folding Treadmill, 2.25HP Under Desk Electric Superfit Treadmill, Installation-Free with APP Control, Remote Control, Bluetooth Speaker and LED Display, Jogging Walking for Home/Office",Irrelevant,0,grp_0045,should_rank_lower,,,esci_sample,openai_judge,high,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0030,esci,negation,michela wrong do not disturb,Do Not Disturb: The Story of a Political Murder and an African Regime Gone Bad,Exact,3,grp_0046,should_rank_higher,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0208,esci,other_lexical,michela wrong do not disturb,"Kichwit Privacy Sign, Do Not Disturb Sign, Out of Office Sign, Please Knock Sign, In a Meeting Sign, Office Sign, Conference Sign for Offices, 5 Inch, Black",Irrelevant,0,grp_0046,should_rank_lower,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0378,esci,other_lexical,michela wrong do not disturb,EXPERODUCTS Do Not Disturb Door Hanger Double Sided Sign for Personal Room,Exact,3,grp_0047,should_rank_higher,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
esci_0183,esci,negation,michela wrong do not disturb,"Do Not Disturb Door Hanger Sign, Please Do Not Disturb Door Knob Sign for Meeting in Session, Office, Home, Clinic, Therapists, Hotel, Health Care,2 Pack (Grey and Green)",Irrelevant,0,grp_0047,should_rank_lower,,,esci_sample,openai_judge,heuristic,openai_tagger:gpt-5-mini:tagger_v1_closed_set
